Legacy URL Pattern,Redirect To,Match Type,HTTP Status,Site ID,Legacy URL Match Type
/human-factors-engineering-hfe-level-set-for-a-system-approach-to-successful-surface-disinfection,/blog/human-factors-engineering-hfe-level-set-for-a-system-approach-to-successful-surface-disinfection,exactmatch,301,,pathonly
/ip-and-evs-as-a-dynamic-duo-the-importance-of-partnership,/blog/ip-and-evs-as-a-dynamic-duo-the-importance-of-partnership,exactmatch,301,,pathonly
/single-placement-uvc-technology-allows-staff-to-work-more-efficiently,/blog/single-placement-uvc-technology-allows-staff-to-work-more-efficiently,exactmatch,301,,pathonly
/voices-of-the-field-meet-nick-butler,/blog/voices-of-the-field-meet-nick-butler,exactmatch,301,,pathonly
/voices-of-the-field-meet-chance-webb,/blog/voices-of-the-field-meet-chance-webb,exactmatch,301,,pathonly
/voices-of-the-field-meet-connor-kelly,/blog/voices-of-the-field-meet-connor-kelly,exactmatch,301,,pathonly
/the-why-behind-a-layered-approach,/blog/the-why-behind-a-layered-approach,exactmatch,301,,pathonly
/compliance-monitoring-and-feedback-critical-components-to-environmental-cleaning-and-disinfection,/blog/compliance-monitoring-and-feedback-critical-components-to-environmental-cleaning-and-disinfection,exactmatch,301,,pathonly
/reaping-the-rewards-of-a-layered-approach,/blog/reaping-the-rewards-of-a-layered-approach,exactmatch,301,,pathonly
/meet-the-top-tru-d-device-users,/blog/meet-the-top-tru-d-device-users,exactmatch,301,,pathonly
/pdi-healthcare-to-exhibit-at-ahe-october-2022-tradeshow,/blog/pdi-healthcare-to-exhibit-at-ahe-october-2022-tradeshow,exactmatch,301,,pathonly
/youre-smart-choose-smarter-work-hard-not-harder,/blog/youre-smart-choose-smarter-work-hard-not-harder,exactmatch,301,,pathonly
/celebrating-2022-international-infection-prevention-week,/blog/celebrating-2022-international-infection-prevention-week,exactmatch,301,,pathonly
/the-science-behind-shadows-and-measured-uvc-dosing,/blog/the-science-behind-shadows-and-measured-uvc-dosing,exactmatch,301,,pathonly
/42610-2,/blog/42610-2,exactmatch,301,,pathonly
/iqlaunchannouncement,/blog/iqlaunchannouncement,exactmatch,301,,pathonly
/introducing-the-tru-d-iq-system-the-next-generation-of-next-level-disinfection,/blog/introducing-the-tru-d-iq-system-the-next-generation-of-next-level-disinfection,exactmatch,301,,pathonly
/smartuvc-disinfection-just-got-smarter-meet-the-tru-d-iq-tower,/blog/smartuvc-disinfection-just-got-smarter-meet-the-tru-d-iq-tower,exactmatch,301,,pathonly
/join-pdi-tru-d-smartuvc-for-the-first-ever-meet-and-greet-with-the-tru-d-iq-system,/blog/join-pdi-tru-d-smartuvc-for-the-first-ever-meet-and-greet-with-the-tru-d-iq-system,exactmatch,301,,pathonly
/meet-scout-a-versatile-compact-uvc-device-for-disinfection-of-small-spaces,/blog/meet-scout-a-versatile-compact-uvc-device-for-disinfection-of-small-spaces,exactmatch,301,,pathonly
/do-you-have-questions-about-the-tru-d-iq-system-check-out-our-qa,/blog/do-you-have-questions-about-the-tru-d-iq-system-check-out-our-qa,exactmatch,301,,pathonly
/history-behind-innovating-the-tru-d-iq-system,/blog/history-behind-innovating-the-tru-d-iq-system,exactmatch,301,,pathonly
/the-how-behind-shorter-cycle-times-with-tru-d-iq,/blog/the-how-behind-shorter-cycle-times-with-tru-d-iq,exactmatch,301,,pathonly
/the-importance-of-clinical-data-the-testing-behind-the-tru-d-iq-system,/blog/the-importance-of-clinical-data-the-testing-behind-the-tru-d-iq-system,exactmatch,301,,pathonly
